Game,OpenCritic Score,Release Date
Super Mario Odyssey,96.8108108108108,2017-10-27
The Legend of Zelda: Breath of the Wild,95.9047619047619,2017-03-03
The Legend of Zelda: Tears of the Kingdom,95.86702127659575,2023-05-12
Persona 5 Royal,94.17307692307692,2019-10-31
Metroid Prime Remastered,94,2023-02-08
Hades,93.86206896551724,2020-09-17
Divinity: Original Sin 2,93.48275862068965,2017-09-14
The House in Fata Morgana,93.33333333333333,2016-05-13
Dead Cells: The Queen & the Sea,93.33333333333333,2022-01-06
Vampire Survivors: Ode to Castlevania,93.33333333333333,2024-10-31
Undertale,93.3103448275862,2015-09-15
Super Mario 3D World,93.23880597014926,2013-11-22
Tsukihime -A piece of blue glass moon-,92.72727272727273,2024-06-27
The Witcher 3: Wild Hunt,92.53623188405797,2015-05-19
Portal: Companion Collection,92.5,2022-06-28
Resident Evil 2,92.04347826086956,2019-01-25
Super Smash Bros. Ultimate,92.02884615384616,2018-12-07
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91.875,2019-09-27
Spiritfall,91.66666666666667,2024-02-28
Balatro,91.63888888888889,2024-02-20
